# galaxy_id rad[kpc] vobs[km/s] errv[km/s] mass[M_sun]
NGC2903_rotmod 17.28 188.00 3.00 6.81e+10
NGC2903_rotmod 18.24 186.00 3.00 6.81e+10
NGC2903_rotmod 19.20 185.00 3.00 6.81e+10
NGC2903_rotmod 20.16 185.00 3.00 6.81e+10
NGC2903_rotmod 21.12 181.00 3.00 6.81e+10
NGC2903_rotmod 22.08 178.00 3.00 6.81e+10
NGC2903_rotmod 23.04 177.00 3.00 6.81e+10
NGC2903_rotmod 24.00 182.00 4.00 6.81e+10
NGC2903_rotmod 24.96 180.00 8.00 6.81e+10
UGC06787_rotmod 0.12 134.00 41.10 7.13e+10
UGC06787_rotmod 0.24 208.00 35.50 7.13e+10
UGC06787_rotmod 0.35 252.00 27.10 7.13e+10
UGC06787_rotmod 0.47 272.00 11.60 7.13e+10
UGC06787_rotmod 0.59 276.00 12.60 7.13e+10
UGC06787_rotmod 0.71 271.00 16.30 7.13e+10
UGC06787_rotmod 0.83 266.00 11.90 7.13e+10
UGC06787_rotmod 0.94 262.00 12.20 7.13e+10
UGC06787_rotmod 1.06 260.00 12.10 7.13e+10
UGC06787_rotmod 1.18 260.00 11.90 7.13e+10
UGC06787_rotmod 1.30 259.00 8.04 7.13e+10
UGC06787_rotmod 1.42 257.00 10.20 7.13e+10
UGC06787_rotmod 1.53 254.00 9.68 7.13e+10
UGC06787_rotmod 1.66 244.00 4.95 7.13e+10
UGC06787_rotmod 1.89 228.00 9.83 7.13e+10
UGC06787_rotmod 2.01 220.00 18.60 7.13e+10
UGC06787_rotmod 2.13 215.00 4.11 7.13e+10
UGC06787_rotmod 2.24 213.00 16.10 7.13e+10
UGC06787_rotmod 3.10 228.00 9.59 7.13e+10
UGC06787_rotmod 3.79 236.00 7.22 7.13e+10
UGC06787_rotmod 3.90 236.00 7.24 7.13e+10
UGC06787_rotmod 4.14 237.00 8.26 7.13e+10
UGC06787_rotmod 4.25 237.00 4.07 7.13e+10
UGC06787_rotmod 4.37 237.00 4.04 7.13e+10
UGC06787_rotmod 4.49 237.00 1.94 7.13e+10
UGC06787_rotmod 4.61 237.00 1.49 7.13e+10
UGC06787_rotmod 4.72 236.00 2.38 7.13e+10
UGC06787_rotmod 5.16 235.00 2.40 7.13e+10
UGC06787_rotmod 5.43 234.00 4.05 7.13e+10
UGC06787_rotmod 5.56 233.00 3.03 7.13e+10
UGC06787_rotmod 5.67 233.00 2.48 7.13e+10
UGC06787_rotmod 5.79 233.00 3.03 7.13e+10
UGC06787_rotmod 5.91 232.00 6.70 7.13e+10
UGC06787_rotmod 6.03 232.00 7.44 7.13e+10
UGC06787_rotmod 6.20 232.00 1.64 7.13e+10
UGC06787_rotmod 6.50 233.00 14.30 7.13e+10
UGC06787_rotmod 6.85 235.00 7.57 7.13e+10
UGC06787_rotmod 6.98 236.00 3.05 7.13e+10
UGC06787_rotmod 7.09 236.00 2.91 7.13e+10
UGC06787_rotmod 7.21 237.00 4.07 7.13e+10
UGC06787_rotmod 7.22 238.00 2.02 7.13e+10
UGC06787_rotmod 7.33 238.00 6.76 7.13e+10
UGC06787_rotmod 7.45 239.00 3.49 7.13e+10
UGC06787_rotmod 7.56 240.00 10.10 7.13e+10
UGC06787_rotmod 8.26 247.00 0.85 7.13e+10
UGC06787_rotmod 8.98 252.00 8.91 7.13e+10
UGC06787_rotmod 9.09 253.00 7.13 7.13e+10
UGC06787_rotmod 9.30 254.00 0.73 7.13e+10
UGC06787_rotmod 10.32 253.00 0.96 7.13e+10
UGC06787_rotmod 11.38 247.00 1.99 7.13e+10
UGC06787_rotmod 12.40 238.00 3.15 7.13e+10
UGC06787_rotmod 13.41 229.00 1.67 7.13e+10
UGC06787_rotmod 14.43 223.00 3.52 7.13e+10
UGC06787_rotmod 15.44 220.00 1.13 7.13e+10
UGC06787_rotmod 16.57 220.00 1.12 7.13e+10
UGC06787_rotmod 17.58 224.00 1.93 7.13e+10
UGC06787_rotmod 18.60 228.00 2.04 7.13e+10
UGC06787_rotmod 19.61 234.00 2.55 7.13e+10
UGC06787_rotmod 20.62 239.00 2.91 7.13e+10
UGC06787_rotmod 21.64 243.00 3.08 7.13e+10
UGC06787_rotmod 22.77 245.00 3.60 7.13e+10
UGC06787_rotmod 23.78 247.00 2.67 7.13e+10
UGC06787_rotmod 24.79 249.00 3.37 7.13e+10
UGC06787_rotmod 25.81 250.00 2.08 7.13e+10
UGC06787_rotmod 26.82 251.00 1.68 7.13e+10
UGC06787_rotmod 27.84 251.00 2.78 7.13e+10
UGC06787_rotmod 29.41 248.00 3.40 7.13e+10
UGC06787_rotmod 30.99 246.00 2.91 7.13e+10
UGC06787_rotmod 32.57 249.00 3.46 7.13e+10
UGC06787_rotmod 34.03 252.00 3.23 7.13e+10
UGC06787_rotmod 37.19 255.00 4.16 7.13e+10
NGC0055_rotmod 1.23 28.70 3.40 3.10e+09
NGC0055_rotmod 1.84 37.60 2.60 3.10e+09
NGC0055_rotmod 2.46 43.10 1.20 3.10e+09
NGC0055_rotmod 3.07 50.10 2.80 3.10e+09
NGC0055_rotmod 3.68 58.10 4.50 3.10e+09
NGC0055_rotmod 4.30 64.60 4.10 3.10e+09
NGC0055_rotmod 4.91 68.50 2.70 3.10e+09
NGC0055_rotmod 5.52 72.30 0.80 3.10e+09
NGC0055_rotmod 6.14 74.20 2.40 3.10e+09
NGC0055_rotmod 6.75 78.90 2.60 3.10e+09
NGC0055_rotmod 7.37 82.40 2.30 3.10e+09
NGC0055_rotmod 7.98 84.30 4.80 3.10e+09
NGC0055_rotmod 8.59 85.40 7.30 3.10e+09
NGC0055_rotmod 9.21 85.30 4.60 3.10e+09
NGC0055_rotmod 9.82 86.80 4.00 3.10e+09
NGC0055_rotmod 10.43 85.40 5.70 3.10e+09
NGC0055_rotmod 11.05 85.40 7.00 3.10e+09
NGC0055_rotmod 11.66 86.20 4.10 3.10e+09
NGC0055_rotmod 12.28 86.10 6.20 3.10e+09
NGC0055_rotmod 12.89 87.40 2.50 3.10e+09
NGC0055_rotmod 13.50 86.50 5.50 3.10e+09
NGC2366_rotmod 0.12 4.20 3.15 2.12e+08
NGC2366_rotmod 0.36 9.41 1.83 2.12e+08
NGC2366_rotmod 0.59 15.30 1.37 2.12e+08
NGC2366_rotmod 0.83 18.40 1.64 2.12e+08
NGC2366_rotmod 1.07 23.40 2.08 2.12e+08
NGC2366_rotmod 1.31 28.10 2.46 2.12e+08
NGC2366_rotmod 1.54 33.10 2.01 2.12e+08
NGC2366_rotmod 1.79 37.50 1.62 2.12e+08
NGC2366_rotmod 2.02 40.50 1.68 2.12e+08
NGC2366_rotmod 2.26 42.30 1.69 2.12e+08
NGC2366_rotmod 2.49 45.20 1.91 2.12e+08
NGC2366_rotmod 2.74 47.40 1.95 2.12e+08
